"","original","text"
"144","Oh my God, this is STUNNING. <f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BC>  #TheGreatestShowman https://t.co/Umiah6gnMh","god is stunning"
"145","Making plans for lunch? Our $5 BBQ Pulled Pork Sandwich will be available 12-3pm today!!!! Just look how much Hugh is loving his?!?!?

#DinnerAndAShow #PEI #IMayNeedAnIntervention #TheGreatestShowman https://t.co/U83zzXOfUY","making plans lunch be back quick pulled pork sandwich be available pm today just look how much hugh is loving"
"146","Alice Barker is #whatCPlookslike! Please watch and share her video. #CP #cerebralpalsy #cerebralpalsyawareness #advocacy #awareness #education #england #uk #hughjackman #thegreatestshowman #contest https://t.co/gvZN5cJ9sr","alice barker is please watch share video"
"147","Nearly 7 months of constant listening and countless times watching the film - my girls are still obsessed with #TheGreatestShowman clearly fans for life @RealHughJackman @Zendaya @ZacEfron","nearly months constant listening countless times watching film girls are still obsessed clearly fans life"
"148","Part 2 pleaseeeeeeeeeeeeee! #TheGreatestShowman","part pleasee"
"150","@TimeSassChoco Yay ! You just combined my all time favorite movie #TheGreatestShowman and my favorite tv show #Timeless !","yay just combined time favorite movie favorite television show"
"151","so the reason why Logan didn't want to receive treatments for his adamantium poisoning is because he wanted to be the greatest showman <f0><U+009F><U+00A4><U+00A6><U+200D><U+2640><U+FE0F>

#wolverine
#Logan 
#TheGreatestShowman","reason why logan did not want receive treatments adamantium poisoning is wanted be greatest showmanef f"
"152","@RealHughJackman we love singing a million dreams #TheGreatestShowman @MoorsidePA @MissHaughneyMPA @pep1209 https://t.co/O31G1slFKQ","love singing dreams"
"153","#TheGreatestShowman is a brilliant family #film https://t.co/vItJ4akshN","is brilliant family"
"154","Watching #TheGreatestShowman with mum so far I’m loving it!! Xx","watching mum so far am loving"
"155","...the noblest art is that of making others happy. #thegreatestshowman   #thisisthegreatestshow #ptbarnum","noblest art is making others happy"
"156","#SomethingIWrote: Greenlight given for #TheGreatestShowman 2: Electric Boogaloo https://t.co/33stg0XOk0","greenlight given electric boogaloo"
"157","No one told me i’d cry during EVERY song on #TheGreatestShowman <f0><U+009F><U+0098><U+00AB><f0><U+009F><U+0098><U+0082>","one told id cry song tired face face tears joy"
"158","Is “comfort is the enemy of progress"" in business? A #BrighterThinking Graham Seddon explores what an #SME can learn from the hit film #TheGreatestShowman
https://t.co/VFTiLJE9mA https://t.co/5ydilsXcB1","iscomfort is enemy progress business graham seddon explores learn hit film"
"159","<f0><U+009F><U+008E><U+0089>ONE WEEK TODAY<f0><U+009F><U+008E><U+0089> Next Tuesday we’ve got our one day event in Planet Kids for the Greatest Showman. Get your ticket now, there’s so much included and it’ll be none stop fun for the whole time your here. We can’t wait <f0><U+009F><U+008D><U+009F><f0><U+009F><U+008D><U+0094><f0><U+009F><U+008C><U+00AD><f0><U+009F><U+008D><U+00BF><f0><U+009F><U+008D><U+00AD><f0><U+009F><U+008E><U+00AA><f0><U+009F><U+008E><U+00A9><f0><U+009F><U+008E><U+00A8><U+2728> #thegreatestshowman #planetkids #facepaint https://t.co/6NYYpZ8dxa","week todayxt ever got day event planet kids greatest showman get ticket now theres so much included be none stop fun whole time cant waitsparkles"
"160","@GreatestShowman @RealHughJackman @ZacEfron Finally got my Greatest Showman vinyl to add to my collection...my love for this film and it’s songs isn’t even slightly dwindling. It’s totally and utterly my happy place <f0><U+009F><U+008E><U+00A9><f0><U+009F><U+0092><U+0099><f0><U+009F><U+008E><U+009F><f0><U+009F><U+0096><U+00A4><f0><U+009F><U+008E><U+00AA><U+2764><U+FE0F>#thegreatestshowman https://t.co/Suto2dgVJ1","finally got greatest showman vinyl add collection love film songs even slightly dwindling happy placeheavy black heart"
"161","I don’t watch movies so much, but this movie became a feeling I wanted to see over and over again. And I listen CD everyday!
My heart was moved by this movie!!
I was shedding tears while I was unaware.<f0><U+009F><U+0098><U+00AD>
I sincerely appreciate meeting this movie work!
#TheGreatestShowman https://t.co/4E2qEYQjWC","do not watch movies so much movie became feeling wanted see listen cd everyday heart was moved movie i was shedding tears was unaware sincerely appreciate meeting movie work"
"162","and let me just say, Hugh Jackman is obsessed with stealing loafs of bread #TheGreatestShowman","let just say hugh jackman is obsessed stealing loafs bread"
"163","I've been waiting for this day to come. 

I am a Japanese actor<f0><U+009F><U+008E><U+00A9>

I'm very happy<f0><U+009F><U+0098><U+0086>

@GreatestShowman 
@RealHughJackman 
@20thcenturyfox 

#TheGreatestShowman 
#GreatestShowman 
#Japan https://t.co/9CkNgO0ili","have been waiting day come i am japanese actor i am very happy"
"164","Check out his fantastic rendition of #TheGreatestShowman
https://t.co/l7gfmBQ9aX","check fantastic rendition"
"165","@PatrickGracey I just saw #TheGreatestShowman last night! What a glorious uplifting film. Your brothers work is wonderful. Bravo!","just saw last night glorious uplifting film brothers work is wonderful bravo"
"166","First 5 mins of #TheGreatestShowman and I can see why @NICKY_STARR_ hates it and @lauraaa_diva loves it","first minutes see why hates loves"
"167","Then I saw this. These dudes are the nuts <f0><U+009F><U+00A4><U+009F><f0><U+009F><U+0098><U+008E><f0><U+009F><U+00A4><U+0097><U+2764><U+FE0F> #TheGreatestShowman 

https://t.co/61O1fUghY6","then saw dudes are nutsheavy black heart"
"168","#NW #TheGreatestShowman and I. LOVE. IT.","love"
"169","#TheGreatestShowman : Kinda Great. <f0><U+009F><U+008E><U+00AA>

https://t.co/ubnMDmZTlp https://t.co/qKNsIfchzK","kind great"
"170","#TheGreatestShowman A Hollywood blockbuster or the best #business #Advice you’ll ever get? Read our blog for real life tips https://t.co/HlMJMUJ4eU https://t.co/2bIGEZxhad","hollywood blockbuster best youll ever get read web log real life tips"
"171","Look out ‘cause here I come!!! No, it’s not my hat left over from the royal wedding, this is my The Greatest Showman hat to celebrate the DVD, Bly-Ray &amp; download selling 500,000 copies in the first week alone.  Thank you @GreatestShowman #ThisIsMe #TheGreatestShowman https://t.co/MIQGM0MyeK","look here come hat left royal wedding is greatest showman hat celebrate dvd bly ray download selling copies first week alone thank"
"172","My order arrived<f0><U+009F><U+0098><U+008D><f0><U+009F><U+0092><U+009F>

#thegreatestshowman https://t.co/lvSJnhzSwr","order arrived"
"173","Every night I lie in bed
The brightest colors fill my head
A million dreams are keeping me awake

I think of what the world could be
A vision of the one I see
A million dreams is all it's gonna take
A million dreams for the world we're gonna make <U+2665><U+FE0F> #TheGreatestShowman","night lie bed brightest colors fill head dreams are keeping awake think world be vision see dreams is is going take dreams world are going make black heart suit"
"174","@hayzelstn The greatest revision comes from the greatest show! #ThisIsMe #TheGreatestShowMan #RevisionLife","greatest revision comes greatest show"
"175","@RealHughJackman I watched #TheGreatestShowman  twice over the weekend and I must say, what a film!! Visually spectacular
#HughJackman was amazing so to where the rest of the cast.
I loved every minute of it so well produced.
10 out of 10 <f0><U+009F><U+0098><U+008A>","watched twice weekend say film visually spectacular was amazing so rest cast loved minute so well produced"
"176","Finally watched #TheGreatestShowman. What a phenomenal performance given by everyone involved. Just to name a few @RealHughJackman @Zendaya @ZacEfron @GreatestShowman @kealasettle <f0><U+009F><U+0092><U+009C><f0><U+009F><U+00A4><U+0098><f0><U+009F><U+008F><U+00BD><f0><U+009F><U+008E><U+00AA><f0><U+009F><U+008F><U+0087><f0><U+009F><U+008E><U+009F><f0><U+009F><U+008E><U+00AF>","finally watched phenomenal performance given everyone involved just name few"
"177","My latest review for @nextent_he has gone up on the website, and it's a special one for this week! https://t.co/P2U8I3GasA #TheGreatestShowman","latest review has gone website is special one week"
"178","Yass done! 
To anyone whose bursting with a DREAM @todrick <f0><U+009F><U+0092><U+0095>

#TheGreatestShowman  #pencilart https://t.co/uHvVjbIjKj","yass done anyone bursting dream"
"179","@CrossleyFields our Year 5 vocabulary from #TheGreatestShowman https://t.co/rg7QjfMlvs","year vocabulary"
"180","Nothing like a little ensemble number on the way to work from #thegreatestshowman <f0><U+009F><U+008E><U+00A9> ‘This is the greatest shooooowwwwww!’ What a soundtrack! What a movie! <f0><U+009F><U+0091><U+008C>@satisfashionEd <f0><U+009F><U+008E><U+00A4><f0><U+009F><U+008E><U+00A4><f0><U+009F><U+008E><U+00A4> https://t.co/rJYZD9bwgL","nothing little ensemble number way work is greatest shooww soundtrack movie"
"181","This IS Me an ASL interpretation https://t.co/f2Znh975Ny via @YouTube #ASL #slayed #ThisIsMe #TheGreatestShowman  <f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BC>","is age sex location interpretation"
"182","@TextsDiary A Million Dreams
#TheGreatestShowman","dreams"
"183","So I watched #TheGreatestShowman for the 1st time on Friday.. &amp; since then I’ve totally got various tracks from it stuck in my head.. <f0><U+009F><U+0098><U+0085> So I’ve totally just rolled w/ it &amp; embraced their awesomeness #playingonrepeat <f0><U+009F><U+00A4><U+00B7><f0><U+009F><U+008F><U+00BB><U+200D><U+2640><U+FE0F>","so watched st time friday have totally got various tracks stuck head totally just rolled embraced awesomenessef f"
"184","@ZacEfron here is some fan art #TheGreatestShowman https://t.co/1fdkRHf0UO","here is fan art"
"185","@MirandaSings love this duet so much <f0><U+009F><U+0092><U+0095><f0><U+009F><U+0092><U+009C> #thegreatestshowman  @ZacEfron @Zendaya https://t.co/u6Tlkz7Uy3","love duet so much"
"186","Just going to put this out there, we all need these words sometimes #thisisme #loveyourselfforwhoyouare #easiersaidthandone #beyou #beproud #TheGreatestShowman https://t.co/65AO5Y3nA6","just going put need words sometimes"
"187","A Million Dreams https://t.co/hiJlgkTjOB
#TheGreatestShowman
#Pamugasay https://t.co/Hm6NNf1fqZ","dreams"
"188","Listening to nostalgia #BackstreetBoys and #TheGreatestShowman while working on #galra posters xD https://t.co/bD29aGdgKJ","listening nostalgia working posters extreme droll"
"189","Finally watched #TheGreatestShowman. Wow. Lovely film. How is it possible for Hugh Jackman to be so amazingly talented?","finally watched wow lovely film how is possible hugh jackman be so amazingly talented"
"190","@GraceRandolph how is #TheGreatestShowman still number one on iTunes?? Crazy <f0><U+009F><U+00A4><U+00AF>","how is still number itunes crazy"
"191","Zephanie <f0><U+009F><U+008E><U+00A4>:Last part <f0><U+009F><U+0098><U+0082>

Soundtrack from The Greatest Showman - Never Enough

#NeverEnough #TheGreatestShowman #SuperKStar #Zephanie
 https://t.co/BwBPn0LwaW","zephanielast part soundtrack greatest showman never enough"
"192","Haven’t listened to #TheGreatestShowman soundtrack in a while.. So there’s my evening plans lol.","havent listened soundtrack while so theres evening plans laughing"
"193","A million dreams for the world were gonna make. <f0><U+009F><U+008C><U+008F><U+26C5><f0><U+009F><U+008E><U+00A4><f0><U+009F><U+008E><U+00B6>

#TheGreatestShowman 
#dreams <f0><U+009F><U+0092><U+00A4><f0><U+009F><U+0092><U+00AD>","dreams world were going make earth globe australia sun cloud microphone multiple musical notes sleeping symbol thought balloon"
"194","Pretty sure he’s aspiring to be @RealHughJackman now... He’s dying to see Le Mis now<f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>
•
My fav little musical fan<f0><U+009F><U+0098><U+0098>
#TheGreatestShowman <f0><U+009F><U+008E><U+00A9> https://t.co/n4gO528B5Y","pretty sure hes aspiring be now hes dying see le mis now Favorite little musical fan"
"195","How come I didn't hear enough buzz about @ZacEfron's voice evolution from Troy Bolton to Philip Carlyle during The Greatest Showman's hype?! #TheGreatestShowman","how come did not hear enough buzz about voice evolution troy bolton philip carlyle greatest showman hype"
"196","@FBE can you have kids, teens, college, adults, and elders react to #ThisIsMe from #TheGreatestShowman","have kids teens college adults elders react"
"197","My friends 4 year old saw #TheGreatestShowman and I told her it would be awesome! She sang at her graduation today <f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+0082> #socute @ZacEfron @RealHughJackman @Zendaya @kealasettle https://t.co/MYo71AvAGU","friends year old saw told be awesome sang graduation today"
"198","When #TheGreatestShowman is life! McKenna Justice in her 4 yr old glory!! @RealHughJackman @Zendaya @kealasettle @ZacEfron https://t.co/78fBdxfhjc","when is life mckenna justice year old glory"
"199","My 7 year old has been a fan of @Zendaya for some time, but the latest trapeze artist #TheGreatestShowman  has me a little nervous ! https://t.co/ZhjQYV0WI9","year old has been fan time latest trapeze artist has little nervous"
"200","Love the soundtracks from the greatest showman especially 'from now on' and 'this is me'. #TheGreatestShowman #kealasettle","love soundtracks greatest showman especially is"
"201","I finally watched #TheGreatestShowman and it was amazing. https://t.co/GmOk12Ap9j","finally watched was amazing"
"202","I hate that I love @ZacEfron #TheGreatestShowman","hate love"
"203","As I’m watching #TheGreatestShowman for the 4th time, I can’t help but be amazed by the performance by @ZacEfron and @RealHughJackman every time they are on screen!","am watching th time cant help be amazed performance time are screen"
"204","Congrats to the Park View Choirs on a great concert tonight! #inspire70 #choir #closetohome #springconcert #TheGreatestShowman https://t.co/ZNq5Eke3sc","congratulations park view choirs great concert tonight"
"205","Watching. #TheGreatestShowman
Yes I'm off trend hahaha! https://t.co/fbIDuCbbJv","watching yes am trend hahaha"
"206","@RealJamesWoods @quietplacemovie #TheGreatestShowman &lt;== THE GREATEST SHOW
@GreatestShowman @RealHughJackman","long time greatest show"
"207","So happy I finally got my Blu-ray #TheGreatestShowman it’s available in Mexico also they give me a lithograph this is my collection of soundtrack with the powerful voice of @kealasettle #thisisme #asisoy https://t.co/gqWmIyWNdm","so happy finally got blue ray available mexico also give lithograph is collection soundtrack powerful voice"
"208","Tower of gold are still to little. This hand could hold the world but it’ll never be enough. <f0><U+009F><U+0098><U+008D> #NeverEnough #TheGreatestShowman #goodmorning","tower gold are still hand hold world never be enough smiling face heart shaped eyes"
"209","Every time I hear my daughter sing it brings tears to my eyes. We watch The Greatest Showman every night and I get to listen to her beautiful voice! #singing #TheGreatestShowman","time hear daughter sing brings tears eyes watch greatest showman night get listen beautiful voice"
"210","My daughter's solo on A Million Dreams tonight. #TheGreatestShowman https://t.co/5RKeLrVPCT","daughter solo dreams tonight"
"211","“It's everything you ever want
It's everything you ever need
And it's here right in front of you
This is where you wanna be” #TheGreatestShowman #thegreatestshow <f0><U+009F><U+008E><U+00B6><f0><U+009F><U+008E><U+00B5>","is everything ever want is everything ever need is here right front is where want bee"
"212","I have wrote a review of one of the best films I’ve watched this year. If you haven’t treated yourself to a musical starring both @RealHughJackman and @ZacEfron then I suggest you go watch #thegreatestshowman and read my blog to find out why!
 https://t.co/47jhTq1pii https://t.co/zqOcaTHcIx","have wrote review best films have watched year havent treated musical starring then suggest go watch read web log find"
"214","This #LilNugget fell asleep on my lap watching #TheGreatestShowman <f0><U+009F><U+008E><U+00AA> Absolute best movie I have seen in a while! #Lukeapotamus #MovieNight https://t.co/zcLyA9YyGp","fell asleep lap watchingsolute best movie have seen while"
"215","I want to thank the universe for @RealHughJackman and thank Hugh Jackman for #TheGreatestShowman <U+2728>","want thank universe thank hugh jackman sparkles"
"216","This is THE Greatest Show! Awesome job 8th graders.  #thegreatestshowman https://t.co/QgsxGSD0Du","is greatest show awesome job graders"
"217","me jamming to every song in #TheGreatestShowman even though the film chooses to focus on an exploitative shithead who shows little to no regard for the underdeveloped supporting characters he capitalizes off of https://t.co/6k3NNb0HlD","jamming song film chooses focus exploitative shithead shows little regard underdeveloped supporting characters capitalizes off"
"218","@RealHughJackman I think the 5th graders at @AuburnCityEdu did a great job on this one. How about you? #TheGreatestShowman https://t.co/dnmaQpFMgH","think th graders did great job"
"219","Worksheets, viewing guides, character analysis, coloring sheets. You need this.
https://t.co/CrL95xh8py  
#TheGreatestShowman #musical https://t.co/rCmTTDA8Cs","worksheets viewing guides character analysis coloring sheets need"
"220","For the record - I LOVED #TheGreatestShowman","record loved"
"221","Guaranteed that in 20 years or whatever from now, ima be singing “a million dreams” from #TheGreatestShowman as a lullaby. That song is now timeless","guaranteed years am be singinga dreamsfrom lullaby song is now"
"222","Jollibee, albay is blasting some #TheGreatestShowman songs and I FEEL GOOD","jollibee albay is blasting songs feel good"
"223","Because of a minor comment my partner now believes that @Madonna was alive in 20 June 1837 – 22 January 1901 while watching #Thegreatestshowman I say them years as we see Queen Victoria in the film <f0><U+009F><U+00A4><U+00A6><f0><U+009F><U+008F><U+00BB><U+200D><U+2642><U+FE0F>what kind of gay man is he but she looks good for 139 though","minor comment partner now believes was alive june january watching say years see queen victoria filmef kind gay man is looks good"
"224","Charlottes #charlesstratton impression from @GreatestShowman #flopdoodle #TheGreatestShowman https://t.co/wAfGalMnV0","charlottes impression"
"225","@PcJonMcDonald I watched #TheGreatestShowman yesterday for the first time. Wow! What a bloody good film. Couldn't help but tap my feet for this is me...downloaded it and have it as my ringtone now.","watched yesterday first time wow bloody good film not help tap feet is have ringtone now"
"226","""The Noblest Art Is That Of Making Others Happy."" - P.T. Barnum
#TheGreatestShowman","noblest art is making others happy t barnum"
"227","• This the Greatest Show •
https://t.co/hH4uzx42ha
#TheGreatestShowman","greatest show"
"228","• I'm marching on to the beat I drum •
https://t.co/fJKfvsWr2m
#TheGreatestShowman","am marching beat drum"
"229","I should be asleep....but #TheGreatestShowman (a film my child introduced me to) is too good to miss <f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BC><U+2764><U+FE0F><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BC> #loveit #whatafilm https://t.co/Xt9jXGQgmm","i be asleep film child introduced is too good missheavy black heart"
"230","THIS IS ME (""The Greatest Showman"") - Cover by Veronna FT. The 3:16 Choir https://t.co/GZOCXe6GNY via @YouTube check her out she is wonderful #ThisIsMe #TheGreatestShowman #Veronna #amazing","is greatest showman cover veronna fuck choir"
"231","This week's #FilmClub is going to be the greatest show on Earth. Quite literally. #TheGreatestShowman <f0><U+009F><U+008E><U+00A9><f0><U+009F><U+008E><U+00B5> https://t.co/KWtSiJIWzJ","week is going be greatest show earth quite literally"
"232","Amazing film, I really connected with this song, I am not too proud to tell you it makes me well up <f0><U+009F><U+0098><U+0081> #TheGreatestShowman https://t.co/qhn6L5pT3D","amazing film really connected song am not too proud tell makes"
"233","Casually slaughtered The Greatest Showman soundtrack in style with @MichaelaJ411 #WeAreFab #TheGreatestShowman","casually slaughtered greatest showman soundtrack style"
"234","Monday night sorted ..
Pimms and @RealHughJackman ..
Anybody else seen this ..
#TheGreatestShowman https://t.co/Wl7xVyOHXF","monday night sorted pimms anybody else seen"
"235","If P.T. Barnum was still alive I bet he’d be at every Walmart trying to get #ThePeopleOfWalmart to join his circus! #hashtag #TheGreatestShowman #GreatMovie","t barnum was still alive bet hed be walmart trying get join circus"
"236","Just finished watching #TheGreatestShowman. Cracking film. Another tour de force from Hugh Jackman. One of the best actors of his generation.","just finished watching cracking film tour force hugh jackman best actors generation"
"237","@girlwithnojob singing “This is me” is me every day in my car #TheGreatestShowman (if you haven’t seen it, drop what you’re doing and get your priorities straight)","is meis day car havent seen drop doing get priorities straight"
"238","Please LIKE and RETWEET if you are as appalled and disappointed as I am that @TheGreatestShowman has received ZERO Awards! Let’s make known how many of us love this movie, the incredible Soundtrack and everything about it.

#TheGreatestShowman","please like retweet are as appalled disappointed am has received awards lets make known how many love movie incredible soundtrack everything"
"239","Good job Carson! #thegreatestshowman

 https://t.co/P5rxVkPEVS","good job carson"
"240","Why is #TheGreatestShowman soundtrack so fucking uplifting?","why is soundtrack so fucking"
"241","Watching #TheGreatestShowman and all I can think of at the beginning is #PanicAtTheDisco #IWriteSins <f0><U+009F><U+0098><U+0082> https://t.co/chgmyLU3PK","watching think beginning is"
"242","Cause every night I lie in bed
The brightest colors fill my head
A million dreams are keeping me awake
I think of what the world could be
A vision of the one I see
A million dreams is all it's gonna take
A million dreams for the world we're gonna make  #thegreatestshowman","cause night lie bed brightest colors fill head dreams are keeping awake think world be vision see dreams is is going take dreams world are going make"
"243","it’s been 5 whole months and I still jiggy like this every time i listen to #thegreatestshowman soundtrack https://t.co/sCyZamAPDT","been whole months time listen soundtrack"
"244","You’re probably gay if you’re driving down country roads blasting the soundtrack to #TheGreatestShowman. https://t.co/PGvqknHUHr","youre probably gay youre driving country roads blasting soundtrack"
"245","#TheGreatestShowman fun music, great 'musical' poses and gestures, I enjoyed the bar scene, garbage history, treacherous lip service support of the freaks and weirdos, weak circus, Jackman was fun to watch (lots of running in suits), felt an excuse for a musical","fun music great musical poses gestures enjoyed bar scene garbage history treacherous lip service support freaks weirdos weak circus jackman was fun watch lots running suits felt excuse musical"
"246","this makes me so happy <f0><U+009F><U+0092><U+0083><f0><U+009F><U+0095><U+00BA><U+2764><U+FE0F><U+2764><U+FE0F> #TheGreatestShowman https://t.co/P2lOMF1i3y","makes so happyheavy black heartheavy black heart"
"247","After absorbing 13 hours of superb information from 2 of THE best International Speakers in the last 3 days, my brain is fried in a good way ...... So it's a cold cider and #TheGreatestShowman with my youngest <f0><U+009F><U+0091><U+008C><f0><U+009F><U+0098><U+0080>","absorbing hours superb information best international speakers last days brain is fried good way is cold cider youngest"
"248","Chill time #TheGreatestShowman","chill time"
"249","One of my best scenes in The Greatest Showman: The negotiation between Barnum and Phillip.
Great dialogue, amazing singing, 2 smoking hot men and beautiful choreography.
Then that moment with Anne sealed the deal!
#TheGreatestShowman #ZacEfronIsBae1 #HughJackmanIsBae2","best scenes greatest showman negotiation barnum phillip great dialogue amazing singing smoking hot men beautiful choreography then moment sealed deal"
"250","I must listen to #TheGreatestShowman soundtrack at least 10 times a week #sorrynotsorry https://t.co/IHSb2NhCeZ","listen soundtrack least times week"
"251","How much good and love can I spread? How much negativity can I curb from myself and others? How can I serve those around me best? I wish to use my greatest assets to further those around me. #MondayMusic #TheGreatestShowman #SoundTrackMusic #BeKind #wuwei #POOH #MondayMotivation","how much good love spread how much negativity curb others how serve best wish use greatest assets further"
"252","@SkyUK hey Sky, we pre ordered #TheGreatestShowman and got the blu Ray option too. That blu Ray came out 6 days ago and we haven’t got a delivery notice of it","sky pre ordered got blue ray option too blue ray came days ago havent got delivery notice"
"253","Lights, Camera, Action! It’s #TheGreatestShowman  Time! <U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F> #HughJackman #zacefron #movienight https://t.co/ubHWXyT4YQ","lights camera action time white medium starwhite medium starwhite medium star"
"254","<f0><U+009F><U+008E><U+00AD><f0><U+009F><U+008E><U+00AA>Very proud of our Performing Arts pupils who performed so brilliantly at Theatre Clwyd  tonight, you brought the house down. #TheGreatestShowman #thegreatestperformers #thegreatestschool! <f0><U+009F><U+008E><U+00AD><f0><U+009F><U+008E><U+00AA>","performing arts circus tent very proud performing arts pupils performed so brilliantly theatre clwyd tonight brought house performing arts circus tent"
"255","See the debut music video of Irish trio @caranua_music ! (#Caranua #Music formerly of #CelticWoman ) Their cover of #AMillionDreams (frm #TheGreatestShowman ), shows Caranua's unmistakable signature harmonies &amp;superb balance! Click the link 2watch video! https://t.co/bBDZIkacVr https://t.co/MzuW37MqKc","see debut music video irish trio formerly cover shows caranua unmistakable signature harmonies superb balance click link watch video"
"256","One of our little people getting so much joy from #TheGreatestShowman  - with a modern twist:-) https://t.co/UiPFqUTJNm","little people getting so much joy modern twist"
"257","Forever late to the party but I finally watched #TheGreatestShowman and it was more sensational than I could have hoped. It exceeded my high expectations <f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D>","party finally watched was more sensational have hoped exceeded high expectations smiling face heart shaped eyes smiling face heart shaped eyes smiling face heart shaped eyes"
"258","One of the best film openings of 2017. Chills every time!
#TheGreatestShowman https://t.co/J72F9i6xE0","best film openings chills time"
"259","@msg_tx Have you ever squeezed those and they projectile out? Yeah... I swear my kids are too intelligent. (And currently watching #TheGreatestShowman upside down.)","have ever squeezed projectile swear kids are too intelligent currently watching upside down"
"260","Guess what got here!! 
Thanks @adiposeNarnian @GenaDeedsPage!
Also thank you @RealHughJackman
@kealasettle @ZacEfron
@Zendaya 

#GreatestShowman #TheGreatestShowman #vinyl #records https://t.co/q0OrD1feUo","guess got here thanks also thank"
"261","@RealHughJackman my 6 year old autistic son is infatuated with #TheGreatestShowman and wants to own his very own little ringmaster costume. Thank you for making his day!","year old autistic son is infatuated wants own very own little ringmaster costume thank making day"
"262","I cry at a million dreams every time I watch #TheGreatestShowman without fail","i cry dreams time watch fail"
"264","Obsessed with “Rewrite The Stars” <f0><U+009F><U+0098><U+008D><U+2B50><U+FE0F><f0><U+009F><U+0092><U+00AB><f0><U+009F><U+0092><U+0095> @ZacEfron @Zendaya #TheGreatestShowman https://t.co/1y0SuruXl0","obsessed starse bcwhite medium star"
"265","I feel like it’s impossible to have a bad day when you listen to #TheGreatestShowman soundtrack! We can’t get enough! This song is my all time favorite! <f0><U+009F><U+008E><U+00B6>All I want is to fly with you. All I want is to fall with you.
So just give me all of you!<f0><U+009F><U+008E><U+00B6> https://t.co/YtqmGqFjOM","feel impossible have bad day when listen soundtrack get enough song is time favorite want is fly want is fall so just give"
"266","Movie‘s already watched + FINALLY i own a nice 150g paper sketchbook A4 size <f0><U+009F><U+0098><U+008D> Can‘t await to adorn it with some bigger artworks.

#TheGreatestShowman https://t.co/M8AKdk0Lm6","movies already watched finally own nice paper sketchbook sizent await adorn bigger artworks"
"267","Actually so tempted to get The Greatest Showman Blu-Ray steelbook off eBay. 
It's only available in Italy but I've seen a few on eBay. It's region free and plays in English.
The artwork is gorgeous so I wouldn't mind paying slightly more than the average DVD.

#TheGreatestShowman https://t.co/gTV3hcg2GH","actually so tempted get greatest showman blue ray steelbook ebay is only available have seen few ebay is region free plays english artwork is gorgeous so not mind paying slightly more average dvd"
"268","From one of #TheGreatestShowman to the other! #TrendingNow @RealHughJackman @iamsrk https://t.co/qcko49T8gO https://t.co/FcNmTf3qso","other"
"269","I've got a quick question for @YouTube, I was using the autoplay setting to listen to music and get some variety. My question is, how the hell is #TheGreatestShowman anywhere near being similar to Iris by the #GooGooDolls?","have got quick question was using autoplay setting listen music get variety question is how hell is anywhere being similar iris"
"271","@RealHughJackman on #TheGreatestShowMan reminds me of #ThePrestige that he’s a great performer and that he gets obsessed with the show lol <f0><U+009F><U+0098><U+0085> beautiful movies <f0><U+009F><U+008E><U+00A5> though.","reminds hes great performer gets obsessed show lolautiful moviesough"
"272","I feel like I'm the only person who as not seen this #TheGreatestShowman https://t.co/4xg9mwKIwr","feel am only person as not seen"
"273","Little bit obsessed <f0><U+009F><U+0091><U+008C><f0><U+009F><U+008F><U+00BC>#thegreatestshowman<f0><U+009F><U+008E><U+00A9> https://t.co/I6D0cceVVk","little bit obsessed"
"274","It’s official - I’m obsessed with #TheGreatestShowman <f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D> https://t.co/ao0Wm3Ql7i","official i am obsessed"
"275","Finally got round to watching The Greatest Showman. Regretting leaving it this long. Fabulous film, loving the soundtrack and sheer energy of the film. Awesome <f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BB> #TheGreatestShowman #awesome #offtobuyit","finally got round watching greatest showman regretting leaving long fabulous film loving soundtrack sheer energy film awesome clapping hands sign"
