"","original","text"
"34","Come down to @RedbridgeDrama next Monday for #circus fun! We've got circus acts, face painting and lots more! Finish off with a showing of the recent circus themed film #TheGreatestShowman https://t.co/KhxxbxwECc","come down next monday fun have got circus acts face painting lots more finish showing recent circus film"
"35","When you do a drama warm-up to 'The Greatest Show' from #TheGreatestShowman https://t.co/8OnwGFTc71","do drama warm greatest show"
"36","#thegreatestshowman still not over this movie or the soundtrack <f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BC><U+26A1><U+FE0F> https://t.co/Aa8yeWIvGv","movie soundtrackhigh voltage sign"
"37","OUT NOW ON DVD: see our review of #TheGreatestShowman starring #HughJackman, #Zendaya #ZacEfron: https://t.co/52RcRUzXsZ","dvd see review starring"
"39","Been watching #TheGreatestShowman song #TheOtherSide on repeat on youtube the past few days. Definitely my favorite song from that movie and just so much fun. Must have been a great scene to do.<U+2764><U+FE0F><U+2764><U+FE0F>","been watching song repeat youtube past few days definitely favorite song movie just so much fun have been great scene do heavy black heartheavy black heart"
"40","I *really* appreciate Zac Efron in #TheGreatestShowman","really appreciate zac efron"
"41","I need to go to a sing along version of #TheGreatestShowman !! #gotthoselyricsdown #stillnotoverthatsoundtrack","need go sing version"
"42","Exciting <f0><U+009F><U+0092><U+0083> what's your favourite song from #TheGreatestShowman? https://t.co/zuyAdkB47W","excitingat is favourite song"
"43","Love this @TomFletcher just about to watch #TheGreatestShowman for the fourth time!! #bestfilmever https://t.co/vS2LRUpOEq","love watch fourth time"
"44","Sunday 3 June 4pm: Ladies and Gents, this is the moment you've all been waiting for #TheGreatestShowman #Sing-Along (PG) #film @GrandPavilion #porthcawl. Tix: https://t.co/bCv2BQIKod https://t.co/VHUH9UQMPx","sunday june pm ladies gents is moment have been waiting pg tickets"
"45","Almost through #TheGreatestShowman and I started with half a bottle. Dunno if that means it's good or bad, but I'm a sucker for musicals https://t.co/wM59LPHTzx","started bottle do not know means is good bad am sucker musicals"
"46","@HeartSussex here is the video guys check it out :) #TheGreatestShowman 

https://t.co/n3fM6kUhqq","here is video guys check"
"47","Let it stay this way, can't let this moment end. <f0><U+009F><U+008C><U+00BC>
<f0><U+009F><U+0093><U+00B7> the beautiful Kareem Swedaan
#neverenough 
#thegreatestshowman https://t.co/PJWJgmCST4","let stay way not let moment end e beautiful kareem swedaan"
"48","Apparently my daughter couldn’t remember many quotes from Seamus Heaney or Jekyll and Hyde but had plenty from #TheGreatestShowman - all my fault apparently. Shame it wasn’t on the GCSE paper!","daughter remember many quotes seamus heaney jekyll hyde had plenty fault apparently shame wasnt gcse paper"
"49","I have 100 views now on my rendition of #NeverEnough from #thegreatestshowman on #SingSnap #karaoke https://t.co/GfEHaDLYL7","have views now rendition"
"50","My daughter loves #TheGreatestShowman she gets like this every time! @RealHughJackman https://t.co/OQJgIm9fUA","daughter loves gets time"
