"","Description","Native","BigBytes","R_Encoding","Bytes","Spaced.Bytes"
"394","INPUT SYMBOL FOR NUMBERS ","🔢","F0 9F 94 A2","<ed><a0><bd><ed><b4><a2>","f0 9f 94 a2","f0 9f 94 a2"
"395","INPUT SYMBOL FOR SYMBOLS ","🔣","F0 9F 94 A3","<ed><a0><bd><ed><b4><a3>","f0 9f 94 a3","f0 9f 94 a3"
"396","IZAKAYA LANTERN ","🏮","F0 9F 8F AE","<ed><a0><bc><ed><bf><ae>","f0 9f 8f ae","f0 9f 8f ae"
"397","JACK-O-LANTERN ","🎃","F0 9F 8E 83","<ed><a0><bc><ed><be><83>","f0 9f 8e 83","f0 9f 8e 83"
"398","JAPANESE CASTLE ","🏯","F0 9F 8F AF","<ed><a0><bc><ed><bf><af>","f0 9f 8f af","f0 9f 8f af"
"399","JAPANESE DOLLS ","🎎","F0 9F 8E 8E","<ed><a0><bc><ed><be><8e>","f0 9f 8e 8e","f0 9f 8e 8e"
"400","JAPANESE GOBLIN ","👺","F0 9F 91 BA","<ed><a0><bd><ed><b1><ba>","f0 9f 91 ba","f0 9f 91 ba"
"401","JAPANESE OGRE ","👹","F0 9F 91 B9","<ed><a0><bd><ed><b1><b9>","f0 9f 91 b9","f0 9f 91 b9"
"402","JAPANESE POST OFFICE ","🏣","F0 9F 8F A3","<ed><a0><bc><ed><bf><a3>","f0 9f 8f a3","f0 9f 8f a3"
"403","JAPANESE SYMBOL FOR BEGINNER ","🔰","F0 9F 94 B0","<ed><a0><bd><ed><b4><b0>","f0 9f 94 b0","f0 9f 94 b0"
"404","JEANS ","👖","F0 9F 91 96","<ed><a0><bd><ed><b1><96>","f0 9f 91 96","f0 9f 91 96"
"405","KEY ","🔑","F0 9F 94 91","<ed><a0><bd><ed><b4><91>","f0 9f 94 91","f0 9f 94 91"
"406","KEYCAP TEN ","🔟","F0 9F 94 9F","<ed><a0><bd><ed><b4><9f>","f0 9f 94 9f","f0 9f 94 9f"
"407","KIMONO ","👘","F0 9F 91 98","<ed><a0><bd><ed><b1><98>","f0 9f 91 98","f0 9f 91 98"
"408","KISS ","💏","F0 9F 92 8F","<ed><a0><bd><ed><b2><8f>","f0 9f 92 8f","f0 9f 92 8f"
"409","KISS MARK ","💋","F0 9F 92 8B","<ed><a0><bd><ed><b2><8b>","f0 9f 92 8b","f0 9f 92 8b"
"410","KISSING CAT FACE WITH CLOSED EYES ","😽","F0 9F 98 BD","<ed><a0><bd><ed><b8><bd>","f0 9f 98 bd","f0 9f 98 bd"
"411","KISSING FACE ","😗","F0 9F 98 97","<ed><a0><bd><ed><b8><97>","f0 9f 98 97","f0 9f 98 97"
"412","KISSING FACE WITH CLOSED EYES ","😚","F0 9F 98 9A","<ed><a0><bd><ed><b8><9a>","f0 9f 98 9a","f0 9f 98 9a"
"413","KISSING FACE WITH SMILING EYES ","😙","F0 9F 98 99","<ed><a0><bd><ed><b8><99>","f0 9f 98 99","f0 9f 98 99"
"414","KOALA ","🐨","F0 9F 90 A8","<ed><a0><bd><ed><b0><a8>","f0 9f 90 a8","f0 9f 90 a8"
"415","LADY BEETLE ","🐞","F0 9F 90 9E","<ed><a0><bd><ed><b0><9e>","f0 9f 90 9e","f0 9f 90 9e"
"416","LARGE BLUE CIRCLE ","🔵","F0 9F 94 B5","<ed><a0><bd><ed><b4><b5>","f0 9f 94 b5","f0 9f 94 b5"
"417","LARGE BLUE DIAMOND ","🔷","F0 9F 94 B7","<ed><a0><bd><ed><b4><b7>","f0 9f 94 b7","f0 9f 94 b7"
"418","LARGE ORANGE DIAMOND ","🔶","F0 9F 94 B6","<ed><a0><bd><ed><b4><b6>","f0 9f 94 b6","f0 9f 94 b6"
"419","LARGE RED CIRCLE ","🔴","F0 9F 94 B4","<ed><a0><bd><ed><b4><b4>","f0 9f 94 b4","f0 9f 94 b4"
"420","LAST QUARTER MOON SYMBOL ","🌗","F0 9F 8C 97","<ed><a0><bc><ed><bc><97>","f0 9f 8c 97","f0 9f 8c 97"
"421","LAST QUARTER MOON WITH FACE ","🌜","F0 9F 8C 9C","<ed><a0><bc><ed><bc><9c>","f0 9f 8c 9c","f0 9f 8c 9c"
