"","Description","Native","BigBytes","R_Encoding","Bytes","Spaced.Bytes"
"532","OPTICAL DISC ","💿","F0 9F 92 BF","<ed><a0><bd><ed><b2><bf>","f0 9f 92 bf","f0 9f 92 bf"
"533","ORANGE BOOK ","📙","F0 9F 93 99","<ed><a0><bd><ed><b3><99>","f0 9f 93 99","f0 9f 93 99"
"534","OUTBOX TRAY ","📤","F0 9F 93 A4","<ed><a0><bd><ed><b3><a4>","f0 9f 93 a4","f0 9f 93 a4"
"535","OX ","🐂","F0 9F 90 82","<ed><a0><bd><ed><b0><82>","f0 9f 90 82","f0 9f 90 82"
"536","PACKAGE ","📦","F0 9F 93 A6","<ed><a0><bd><ed><b3><a6>","f0 9f 93 a6","f0 9f 93 a6"
"537","PAGE FACING UP ","📄","F0 9F 93 84","<ed><a0><bd><ed><b3><84>","f0 9f 93 84","f0 9f 93 84"
"538","PAGE WITH CURL ","📃","F0 9F 93 83","<ed><a0><bd><ed><b3><83>","f0 9f 93 83","f0 9f 93 83"
"539","PAGER ","📟","F0 9F 93 9F","<ed><a0><bd><ed><b3><9f>","f0 9f 93 9f","f0 9f 93 9f"
"540","PALM TREE ","🌴","F0 9F 8C B4","<ed><a0><bc><ed><bc><b4>","f0 9f 8c b4","f0 9f 8c b4"
"541","PANDA FACE ","🐼","F0 9F 90 BC","<ed><a0><bd><ed><b0><bc>","f0 9f 90 bc","f0 9f 90 bc"
"542","PAPERCLIP ","📎","F0 9F 93 8E","<ed><a0><bd><ed><b3><8e>","f0 9f 93 8e","f0 9f 93 8e"
"543","PART ALTERNATION MARK ","〽","E3 80 BD","<e3><80><bd>","e3 80 bd","e3 80 bd"
"544","PARTY POPPER ","🎉","F0 9F 8E 89","<ed><a0><bc><ed><be><89>","f0 9f 8e 89","f0 9f 8e 89"
"545","PASSPORT CONTROL ","🛂","F0 9F 9B 82","<ed><a0><bd><ed><bb><82>","f0 9f 9b 82","f0 9f 9b 82"
"546","PAW PRINTS ","🐾","F0 9F 90 BE","<ed><a0><bd><ed><b0><be>","f0 9f 90 be","f0 9f 90 be"
"547","PEACH ","🍑","F0 9F 8D 91","<ed><a0><bc><ed><bd><91>","f0 9f 8d 91","f0 9f 8d 91"
"548","PEAR ","🍐","F0 9F 8D 90","<ed><a0><bc><ed><bd><90>","f0 9f 8d 90","f0 9f 8d 90"
"549","PEDESTRIAN ","🚶","F0 9F 9A B6","<ed><a0><bd><ed><ba><b6>","f0 9f 9a b6","f0 9f 9a b6"
"550","PENCIL ","✏","E2 9C 8F","<e2><9c><8f>","e2 9c 8f","e2 9c 8f"
"551","PENGUIN ","🐧","F0 9F 90 A7","<ed><a0><bd><ed><b0><a7>","f0 9f 90 a7","f0 9f 90 a7"
"552","PENSIVE FACE ","😔","F0 9F 98 94","<ed><a0><bd><ed><b8><94>","f0 9f 98 94","f0 9f 98 94"
"553","PERFORMING ARTS ","🎭","F0 9F 8E AD","<ed><a0><bc><ed><be><ad>","f0 9f 8e ad","f0 9f 8e ad"
"554","PERSEVERING FACE ","😣","F0 9F 98 A3","<ed><a0><bd><ed><b8><a3>","f0 9f 98 a3","f0 9f 98 a3"
"555","PERSON BOWING DEEPLY ","🙇","F0 9F 99 87","<ed><a0><bd><ed><b9><87>","f0 9f 99 87","f0 9f 99 87"
"556","PERSON FROWNING ","🙍","F0 9F 99 8D","<ed><a0><bd><ed><b9><8d>","f0 9f 99 8d","f0 9f 99 8d"
"557","PERSON RAISING BOTH HANDS IN CELEBRATION ","🙌","F0 9F 99 8C","<ed><a0><bd><ed><b9><8c>","f0 9f 99 8c","f0 9f 99 8c"
"558","PERSON WITH BLOND HAIR ","👱","F0 9F 91 B1","<ed><a0><bd><ed><b1><b1>","f0 9f 91 b1","f0 9f 91 b1"
"559","PERSON WITH FOLDED HANDS ","🙏","F0 9F 99 8F","<ed><a0><bd><ed><b9><8f>","f0 9f 99 8f","f0 9f 99 8f"
"560","PERSON WITH POUTING FACE ","🙎","F0 9F 99 8E","<ed><a0><bd><ed><b9><8e>","f0 9f 99 8e","f0 9f 99 8e"
"561","PERSONAL COMPUTER ","💻","F0 9F 92 BB","<ed><a0><bd><ed><b2><bb>","f0 9f 92 bb","f0 9f 92 bb"
"562","PIG ","🐖","F0 9F 90 96","<ed><a0><bd><ed><b0><96>","f0 9f 90 96","f0 9f 90 96"
"563","PIG FACE ","🐷","F0 9F 90 B7","<ed><a0><bd><ed><b0><b7>","f0 9f 90 b7","f0 9f 90 b7"
"564","PIG NOSE ","🐽","F0 9F 90 BD","<ed><a0><bd><ed><b0><bd>","f0 9f 90 bd","f0 9f 90 bd"
"565","PILE OF POO ","💩","F0 9F 92 A9","<ed><a0><bd><ed><b2><a9>","f0 9f 92 a9","f0 9f 92 a9"
"566","PILL ","💊","F0 9F 92 8A","<ed><a0><bd><ed><b2><8a>","f0 9f 92 8a","f0 9f 92 8a"
"567","PINE DECORATION ","🎍","F0 9F 8E 8D","<ed><a0><bc><ed><be><8d>","f0 9f 8e 8d","f0 9f 8e 8d"
"568","PINEAPPLE ","🍍","F0 9F 8D 8D","<ed><a0><bc><ed><bd><8d>","f0 9f 8d 8d","f0 9f 8d 8d"
"569","PISCES ","♓","E2 99 93","<e2><99><93>","e2 99 93","e2 99 93"
"570","PISTOL ","🔫","F0 9F 94 AB","<ed><a0><bd><ed><b4><ab>","f0 9f 94 ab","f0 9f 94 ab"
"571","PLAYING CARD BLACK JOKER ","🃏","F0 9F 83 8F","<ed><a0><bc><ed><b3><8f>","f0 9f 83 8f","f0 9f 83 8f"
"572","POLICE CAR ","🚓","F0 9F 9A 93","<ed><a0><bd><ed><ba><93>","f0 9f 9a 93","f0 9f 9a 93"
"573","POLICE CARS REVOLVING LIGHT ","🚨","F0 9F 9A A8","<ed><a0><bd><ed><ba><a8>","f0 9f 9a a8","f0 9f 9a a8"
"574","POLICE OFFICER ","👮","F0 9F 91 AE","<ed><a0><bd><ed><b1><ae>","f0 9f 91 ae","f0 9f 91 ae"
"575","POODLE ","🐩","F0 9F 90 A9","<ed><a0><bd><ed><b0><a9>","f0 9f 90 a9","f0 9f 90 a9"
"576","POSTAL HORN ","📯","F0 9F 93 AF","<ed><a0><bd><ed><b3><af>","f0 9f 93 af","f0 9f 93 af"
"577","POSTBOX ","📮","F0 9F 93 AE","<ed><a0><bd><ed><b3><ae>","f0 9f 93 ae","f0 9f 93 ae"
"578","POT OF FOOD ","🍲","F0 9F 8D B2","<ed><a0><bc><ed><bd><b2>","f0 9f 8d b2","f0 9f 8d b2"
"579","POTABLE WATER SYMBOL ","🚰","F0 9F 9A B0","<ed><a0><bd><ed><ba><b0>","f0 9f 9a b0","f0 9f 9a b0"
"580","POUCH ","👝","F0 9F 91 9D","<ed><a0><bd><ed><b1><9d>","f0 9f 91 9d","f0 9f 91 9d"
"581","POULTRY LEG ","🍗","F0 9F 8D 97","<ed><a0><bc><ed><bd><97>","f0 9f 8d 97","f0 9f 8d 97"
"582","POUTING CAT FACE ","😾","F0 9F 98 BE","<ed><a0><bd><ed><b8><be>","f0 9f 98 be","f0 9f 98 be"
"583","POUTING FACE ","😡","F0 9F 98 A1","<ed><a0><bd><ed><b8><a1>","f0 9f 98 a1","f0 9f 98 a1"
"584","PRINCESS ","👸","F0 9F 91 B8","<ed><a0><bd><ed><b1><b8>","f0 9f 91 b8","f0 9f 91 b8"
"585","PUBLIC ADDRESS LOUDSPEAKER ","📢","F0 9F 93 A2","<ed><a0><bd><ed><b3><a2>","f0 9f 93 a2","f0 9f 93 a2"
"586","PURPLE HEART ","💜","F0 9F 92 9C","<ed><a0><bd><ed><b2><9c>","f0 9f 92 9c","f0 9f 92 9c"
"587","PURSE ","👛","F0 9F 91 9B","<ed><a0><bd><ed><b1><9b>","f0 9f 91 9b","f0 9f 91 9b"
"588","PUSHPIN ","📌","F0 9F 93 8C","<ed><a0><bd><ed><b3><8c>","f0 9f 93 8c","f0 9f 93 8c"
"589","PUT LITTER IN ITS PLACE SYMBOL ","🚮","F0 9F 9A AE","<ed><a0><bd><ed><ba><ae>","f0 9f 9a ae","f0 9f 9a ae"
"590","RABBIT ","🐇","F0 9F 90 87","<ed><a0><bd><ed><b0><87>","f0 9f 90 87","f0 9f 90 87"
"591","RABBIT FACE ","🐰","F0 9F 90 B0","<ed><a0><bd><ed><b0><b0>","f0 9f 90 b0","f0 9f 90 b0"
"592","RADIO ","📻","F0 9F 93 BB","<ed><a0><bd><ed><b3><bb>","f0 9f 93 bb","f0 9f 93 bb"
"593","RADIO BUTTON ","🔘","F0 9F 94 98","<ed><a0><bd><ed><b4><98>","f0 9f 94 98","f0 9f 94 98"
"594","RAILWAY CAR ","🚃","F0 9F 9A 83","<ed><a0><bd><ed><ba><83>","f0 9f 9a 83","f0 9f 9a 83"
"595","RAINBOW ","🌈","F0 9F 8C 88","<ed><a0><bc><ed><bc><88>","f0 9f 8c 88","f0 9f 8c 88"
"596","RAISED FIST ","✊","E2 9C 8A","<e2><9c><8a>","e2 9c 8a","e2 9c 8a"
"597","RAISED HAND ","✋","E2 9C 8B","<e2><9c><8b>","e2 9c 8b","e2 9c 8b"
"598","RAM ","🐏","F0 9F 90 8F","<ed><a0><bd><ed><b0><8f>","f0 9f 90 8f","f0 9f 90 8f"
"599","RAT ","🐀","F0 9F 90 80","<ed><a0><bd><ed><b0><80>","f0 9f 90 80","f0 9f 90 80"
"600","RECREATIONAL VEHICLE ","🚙","F0 9F 9A 99","<ed><a0><bd><ed><ba><99>","f0 9f 9a 99","f0 9f 9a 99"
"601","RED APPLE ","🍎","F0 9F 8D 8E","<ed><a0><bc><ed><bd><8e>","f0 9f 8d 8e","f0 9f 8d 8e"
"602","REGIONAL INDICATOR SYMBOL LETTER C + REGIONAL INDICATOR SYMBOL LETTER N ","🇨🇳","F0 9F 87 A8 F0 9F 87 B3","<ed><a0><bc><ed><b7><a8><ed><a0><bc><ed><b7><b3>","f0 9f 87 a8 f0 9f 87 b3","f0 9f 87 a8 f0 9f 87 b3"
"603","REGIONAL INDICATOR SYMBOL LETTER D + REGIONAL INDICATOR SYMBOL LETTER E ","🇩🇪","F0 9F 87 A9 F0 9F 87 AA","<ed><a0><bc><ed><b7><a9><ed><a0><bc><ed><b7><aa>","f0 9f 87 a9 f0 9f 87 aa","f0 9f 87 a9 f0 9f 87 aa"
"604","REGIONAL INDICATOR SYMBOL LETTER E + REGIONAL INDICATOR SYMBOL LETTER S ","🇪🇸","F0 9F 87 AA F0 9F 87 B8","<ed><a0><bc><ed><b7><aa><ed><a0><bc><ed><b7><b8>","f0 9f 87 aa f0 9f 87 b8","f0 9f 87 aa f0 9f 87 b8"
"605","REGIONAL INDICATOR SYMBOL LETTER F + REGIONAL INDICATOR SYMBOL LETTER R ","🇫🇷","F0 9F 87 AB F0 9F 87 B7","<ed><a0><bc><ed><b7><ab><ed><a0><bc><ed><b7><b7>","f0 9f 87 ab f0 9f 87 b7","f0 9f 87 ab f0 9f 87 b7"
"606","REGIONAL INDICATOR SYMBOL LETTER G + REGIONAL INDICATOR SYMBOL LETTER B ","🇬🇧","F0 9F 87 AC F0 9F 87 A7","<ed><a0><bc><ed><b7><ac><ed><a0><bc><ed><b7><a7>","f0 9f 87 ac f0 9f 87 a7","f0 9f 87 ac f0 9f 87 a7"
"607","REGIONAL INDICATOR SYMBOL LETTER I + REGIONAL INDICATOR SYMBOL LETTER T ","🇮🇹","F0 9F 87 AE F0 9F 87 B9","<ed><a0><bc><ed><b7><ae><ed><a0><bc><ed><b7><b9>","f0 9f 87 ae f0 9f 87 b9","f0 9f 87 ae f0 9f 87 b9"
"608","REGIONAL INDICATOR SYMBOL LETTER J + REGIONAL INDICATOR SYMBOL LETTER P ","🇯🇵","F0 9F 87 AF F0 9F 87 B5","<ed><a0><bc><ed><b7><af><ed><a0><bc><ed><b7><b5>","f0 9f 87 af f0 9f 87 b5","f0 9f 87 af f0 9f 87 b5"
"609","REGIONAL INDICATOR SYMBOL LETTER K + REGIONAL INDICATOR SYMBOL LETTER R ","🇰🇷","F0 9F 87 B0 F0 9F 87 B7","<ed><a0><bc><ed><b7><b0><ed><a0><bc><ed><b7><b7>","f0 9f 87 b0 f0 9f 87 b7","f0 9f 87 b0 f0 9f 87 b7"
"610","REGIONAL INDICATOR SYMBOL LETTER R + REGIONAL INDICATOR SYMBOL LETTER U ","🇷🇺","F0 9F 87 B7 F0 9F 87 BA","<ed><a0><bc><ed><b7><b7><ed><a0><bc><ed><b7><ba>","f0 9f 87 b7 f0 9f 87 ba","f0 9f 87 b7 f0 9f 87 ba"
"611","REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER S ","🇺🇸","F0 9F 87 BA F0 9F 87 B8","<ed><a0><bc><ed><b7><ba><ed><a0><bc><ed><b7><b8>","f0 9f 87 ba f0 9f 87 b8","f0 9f 87 ba f0 9f 87 b8"
"612","REGISTERED SIGN ","®","C2 AE","<c2><ae>","c2 ae","c2 ae"
"613","RELIEVED FACE ","😌","F0 9F 98 8C","<ed><a0><bd><ed><b8><8c>","f0 9f 98 8c","f0 9f 98 8c"
"614","RESTROOM ","🚻","F0 9F 9A BB","<ed><a0><bd><ed><ba><bb>","f0 9f 9a bb","f0 9f 9a bb"
"615","REVOLVING HEARTS ","💞","F0 9F 92 9E","<ed><a0><bd><ed><b2><9e>","f0 9f 92 9e","f0 9f 92 9e"
"616","RIBBON ","🎀","F0 9F 8E 80","<ed><a0><bc><ed><be><80>","f0 9f 8e 80","f0 9f 8e 80"
"617","RICE BALL ","🍙","F0 9F 8D 99","<ed><a0><bc><ed><bd><99>","f0 9f 8d 99","f0 9f 8d 99"
"618","RICE CRACKER ","🍘","F0 9F 8D 98","<ed><a0><bc><ed><bd><98>","f0 9f 8d 98","f0 9f 8d 98"
"619","RIGHT-POINTING MAGNIFYING GLASS ","🔎","F0 9F 94 8E","<ed><a0><bd><ed><b4><8e>","f0 9f 94 8e","f0 9f 94 8e"
"620","RIGHTWARDS ARROW WITH HOOK ","↪","E2 86 AA","<e2><86><aa>","e2 86 aa","e2 86 aa"
"621","RING ","💍","F0 9F 92 8D","<ed><a0><bd><ed><b2><8d>","f0 9f 92 8d","f0 9f 92 8d"
"622","ROASTED SWEET POTATO ","🍠","F0 9F 8D A0","<ed><a0><bc><ed><bd><a0>","f0 9f 8d a0","f0 9f 8d a0"
"623","ROCKET ","🚀","F0 9F 9A 80","<ed><a0><bd><ed><ba><80>","f0 9f 9a 80","f0 9f 9a 80"
"624","ROLLER COASTER ","🎢","F0 9F 8E A2","<ed><a0><bc><ed><be><a2>","f0 9f 8e a2","f0 9f 8e a2"
"625","ROOSTER ","🐓","F0 9F 90 93","<ed><a0><bd><ed><b0><93>","f0 9f 90 93","f0 9f 90 93"
"626","ROSE ","🌹","F0 9F 8C B9","<ed><a0><bc><ed><bc><b9>","f0 9f 8c b9","f0 9f 8c b9"
"627","ROUND PUSHPIN ","📍","F0 9F 93 8D","<ed><a0><bd><ed><b3><8d>","f0 9f 93 8d","f0 9f 93 8d"
"628","ROWBOAT ","🚣","F0 9F 9A A3","<ed><a0><bd><ed><ba><a3>","f0 9f 9a a3","f0 9f 9a a3"
"629","RUGBY FOOTBALL ","🏉","F0 9F 8F 89","<ed><a0><bc><ed><bf><89>","f0 9f 8f 89","f0 9f 8f 89"
"630","RUNNER ","🏃","F0 9F 8F 83","<ed><a0><bc><ed><bf><83>","f0 9f 8f 83","f0 9f 8f 83"
"631","RUNNING SHIRT WITH SASH ","🎽","F0 9F 8E BD","<ed><a0><bc><ed><be><bd>","f0 9f 8e bd","f0 9f 8e bd"
"632","SAGITTARIUS ","♐","E2 99 90","<e2><99><90>","e2 99 90","e2 99 90"
"633","SAILBOAT ","⛵","E2 9B B5","<e2><9b><b5>","e2 9b b5","e2 9b b5"
"634","SAKE BOTTLE AND CUP ","🍶","F0 9F 8D B6","<ed><a0><bc><ed><bd><b6>","f0 9f 8d b6","f0 9f 8d b6"
"635","SATELLITE ANTENNA ","📡","F0 9F 93 A1","<ed><a0><bd><ed><b3><a1>","f0 9f 93 a1","f0 9f 93 a1"
"636","SAXOPHONE ","🎷","F0 9F 8E B7","<ed><a0><bc><ed><be><b7>","f0 9f 8e b7","f0 9f 8e b7"
"637","SCHOOL ","🏫","F0 9F 8F AB","<ed><a0><bc><ed><bf><ab>","f0 9f 8f ab","f0 9f 8f ab"
"638","SCHOOL SATCHEL ","🎒","F0 9F 8E 92","<ed><a0><bc><ed><be><92>","f0 9f 8e 92","f0 9f 8e 92"
"639","SCORPIUS ","♏","E2 99 8F","<e2><99><8f>","e2 99 8f","e2 99 8f"
"640","SCROLL ","📜","F0 9F 93 9C","<ed><a0><bd><ed><b3><9c>","f0 9f 93 9c","f0 9f 93 9c"
"641","SEAT ","💺","F0 9F 92 BA","<ed><a0><bd><ed><b2><ba>","f0 9f 92 ba","f0 9f 92 ba"
"642","SEE-NO-EVIL MONKEY ","🙈","F0 9F 99 88","<ed><a0><bd><ed><b9><88>","f0 9f 99 88","f0 9f 99 88"
"643","SEEDLING ","🌱","F0 9F 8C B1","<ed><a0><bc><ed><bc><b1>","f0 9f 8c b1","f0 9f 8c b1"
"644","SHAVED ICE ","🍧","F0 9F 8D A7","<ed><a0><bc><ed><bd><a7>","f0 9f 8d a7","f0 9f 8d a7"
"645","SHEEP ","🐑","F0 9F 90 91","<ed><a0><bd><ed><b0><91>","f0 9f 90 91","f0 9f 90 91"
"646","SHIP ","🚢","F0 9F 9A A2","<ed><a0><bd><ed><ba><a2>","f0 9f 9a a2","f0 9f 9a a2"
"647","SHOOTING STAR ","🌠","F0 9F 8C A0","<ed><a0><bc><ed><bc><a0>","f0 9f 8c a0","f0 9f 8c a0"
"648","SHORTCAKE ","🍰","F0 9F 8D B0","<ed><a0><bc><ed><bd><b0>","f0 9f 8d b0","f0 9f 8d b0"
"649","SHOWER ","🚿","F0 9F 9A BF","<ed><a0><bd><ed><ba><bf>","f0 9f 9a bf","f0 9f 9a bf"
"650","SILHOUETTE OF JAPAN ","🗾","F0 9F 97 BE","<ed><a0><bd><ed><b7><be>","f0 9f 97 be","f0 9f 97 be"
"651","SIX POINTED STAR WITH MIDDLE DOT ","🔯","F0 9F 94 AF","<ed><a0><bd><ed><b4><af>","f0 9f 94 af","f0 9f 94 af"
"652","SKI AND SKI BOOT ","🎿","F0 9F 8E BF","<ed><a0><bc><ed><be><bf>","f0 9f 8e bf","f0 9f 8e bf"
"653","SKULL ","💀","F0 9F 92 80","<ed><a0><bd><ed><b2><80>","f0 9f 92 80","f0 9f 92 80"
"654","SLEEPING FACE ","😴","F0 9F 98 B4","<ed><a0><bd><ed><b8><b4>","f0 9f 98 b4","f0 9f 98 b4"
"655","SLEEPING SYMBOL ","💤","F0 9F 92 A4","<ed><a0><bd><ed><b2><a4>","f0 9f 92 a4","f0 9f 92 a4"
"656","SLEEPY FACE ","😪","F0 9F 98 AA","<ed><a0><bd><ed><b8><aa>","f0 9f 98 aa","f0 9f 98 aa"
"657","SLICE OF PIZZA ","🍕","F0 9F 8D 95","<ed><a0><bc><ed><bd><95>","f0 9f 8d 95","f0 9f 8d 95"
"658","SLOT MACHINE ","🎰","F0 9F 8E B0","<ed><a0><bc><ed><be><b0>","f0 9f 8e b0","f0 9f 8e b0"
"659","SMALL BLUE DIAMOND ","🔹","F0 9F 94 B9","<ed><a0><bd><ed><b4><b9>","f0 9f 94 b9","f0 9f 94 b9"
"660","SMALL ORANGE DIAMOND ","🔸","F0 9F 94 B8","<ed><a0><bd><ed><b4><b8>","f0 9f 94 b8","f0 9f 94 b8"
"661","SMILING CAT FACE WITH HEART-SHAPED EYES ","😻","F0 9F 98 BB","<ed><a0><bd><ed><b8><bb>","f0 9f 98 bb","f0 9f 98 bb"
"662","SMILING CAT FACE WITH OPEN MOUTH ","😺","F0 9F 98 BA","<ed><a0><bd><ed><b8><ba>","f0 9f 98 ba","f0 9f 98 ba"
"663","SMILING FACE WITH HALO ","😇","F0 9F 98 87","<ed><a0><bd><ed><b8><87>","f0 9f 98 87","f0 9f 98 87"
"664","SMILING FACE WITH HEART-SHAPED EYES ","😍","F0 9F 98 8D","<ed><a0><bd><ed><b8><8d>","f0 9f 98 8d","f0 9f 98 8d"
"665","SMILING FACE WITH HORNS ","😈","F0 9F 98 88","<ed><a0><bd><ed><b8><88>","f0 9f 98 88","f0 9f 98 88"
"666","SMILING FACE WITH OPEN MOUTH ","😃","F0 9F 98 83","<ed><a0><bd><ed><b8><83>","f0 9f 98 83","f0 9f 98 83"
"667","SMILING FACE WITH OPEN MOUTH AND COLD SWEAT ","😅","F0 9F 98 85","<ed><a0><bd><ed><b8><85>","f0 9f 98 85","f0 9f 98 85"
"668","SMILING FACE WITH OPEN MOUTH AND SMILING EYES ","😄","F0 9F 98 84","<ed><a0><bd><ed><b8><84>","f0 9f 98 84","f0 9f 98 84"
"669","SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES ","😆","F0 9F 98 86","<ed><a0><bd><ed><b8><86>","f0 9f 98 86","f0 9f 98 86"
"670","SMILING FACE WITH SMILING EYES ","😊","F0 9F 98 8A","<ed><a0><bd><ed><b8><8a>","f0 9f 98 8a","f0 9f 98 8a"
"671","SMILING FACE WITH SUNGLASSES ","😎","F0 9F 98 8E","<ed><a0><bd><ed><b8><8e>","f0 9f 98 8e","f0 9f 98 8e"
"672","SMIRKING FACE ","😏","F0 9F 98 8F","<ed><a0><bd><ed><b8><8f>","f0 9f 98 8f","f0 9f 98 8f"
"673","SMOKING SYMBOL ","🚬","F0 9F 9A AC","<ed><a0><bd><ed><ba><ac>","f0 9f 9a ac","f0 9f 9a ac"
"674","SNAIL ","🐌","F0 9F 90 8C","<ed><a0><bd><ed><b0><8c>","f0 9f 90 8c","f0 9f 90 8c"
"675","SNAKE ","🐍","F0 9F 90 8D","<ed><a0><bd><ed><b0><8d>","f0 9f 90 8d","f0 9f 90 8d"
"676","SNOWBOARDER ","🏂","F0 9F 8F 82","<ed><a0><bc><ed><bf><82>","f0 9f 8f 82","f0 9f 8f 82"
"677","SNOWFLAKE ","❄","E2 9D 84","<e2><9d><84>","e2 9d 84","e2 9d 84"
"678","SNOWMAN WITHOUT SNOW ","⛄","E2 9B 84","<e2><9b><84>","e2 9b 84","e2 9b 84"
"679","SOCCER BALL ","⚽","E2 9A BD","<e2><9a><bd>","e2 9a bd","e2 9a bd"
"680","SOFT ICE CREAM ","🍦","F0 9F 8D A6","<ed><a0><bc><ed><bd><a6>","f0 9f 8d a6","f0 9f 8d a6"
"681","SOON WITH RIGHTWARDS ARROW ABOVE ","🔜","F0 9F 94 9C","<ed><a0><bd><ed><b4><9c>","f0 9f 94 9c","f0 9f 94 9c"
"682","SOUTH EAST ARROW ","↘","E2 86 98","<e2><86><98>","e2 86 98","e2 86 98"
"683","SOUTH WEST ARROW ","↙","E2 86 99","<e2><86><99>","e2 86 99","e2 86 99"
"684","SPAGHETTI ","🍝","F0 9F 8D 9D","<ed><a0><bc><ed><bd><9d>","f0 9f 8d 9d","f0 9f 8d 9d"
"685","SPARKLE ","❇","E2 9D 87","<e2><9d><87>","e2 9d 87","e2 9d 87"
"686","SPARKLES ","✨","E2 9C A8","<e2><9c><a8>","e2 9c a8","e2 9c a8"
"687","SPARKLING HEART ","💖","F0 9F 92 96","<ed><a0><bd><ed><b2><96>","f0 9f 92 96","f0 9f 92 96"
"688","SPEAK-NO-EVIL MONKEY ","🙊","F0 9F 99 8A","<ed><a0><bd><ed><b9><8a>","f0 9f 99 8a","f0 9f 99 8a"
"689","SPEAKER WITH CANCELLATION STROKE ","🔇","F0 9F 94 87","<ed><a0><bd><ed><b4><87>","f0 9f 94 87","f0 9f 94 87"
"690","SPEAKER WITH ONE SOUND WAVE ","🔉","F0 9F 94 89","<ed><a0><bd><ed><b4><89>","f0 9f 94 89","f0 9f 94 89"
"691","SPEAKER WITH THREE SOUND WAVES ","🔊","F0 9F 94 8A","<ed><a0><bd><ed><b4><8a>","f0 9f 94 8a","f0 9f 94 8a"
"692","SPEECH BALLOON ","💬","F0 9F 92 AC","<ed><a0><bd><ed><b2><ac>","f0 9f 92 ac","f0 9f 92 ac"
"693","SPEEDBOAT ","🚤","F0 9F 9A A4","<ed><a0><bd><ed><ba><a4>","f0 9f 9a a4","f0 9f 9a a4"
"694","SPIRAL SHELL ","🐚","F0 9F 90 9A","<ed><a0><bd><ed><b0><9a>","f0 9f 90 9a","f0 9f 90 9a"
"695","SPLASHING SWEAT SYMBOL ","💦","F0 9F 92 A6","<ed><a0><bd><ed><b2><a6>","f0 9f 92 a6","f0 9f 92 a6"
"696","SPOUTING WHALE ","🐳","F0 9F 90 B3","<ed><a0><bd><ed><b0><b3>","f0 9f 90 b3","f0 9f 90 b3"
"697","SQUARED CJK UNIFIED IDEOGRAPH-5272 ","🈹","F0 9F 88 B9","<ed><a0><bc><ed><b8><b9>","f0 9f 88 b9","f0 9f 88 b9"
"698","SQUARED CJK UNIFIED IDEOGRAPH-5408 ","🈴","F0 9F 88 B4","<ed><a0><bc><ed><b8><b4>","f0 9f 88 b4","f0 9f 88 b4"
"699","SQUARED CJK UNIFIED IDEOGRAPH-55B6 ","🈺","F0 9F 88 BA","<ed><a0><bc><ed><b8><ba>","f0 9f 88 ba","f0 9f 88 ba"
"700","SQUARED CJK UNIFIED IDEOGRAPH-6307 ","🈯","F0 9F 88 AF","<ed><a0><bc><ed><b8><af>","f0 9f 88 af","f0 9f 88 af"
"701","SQUARED CJK UNIFIED IDEOGRAPH-6708 ","🈷","F0 9F 88 B7","<ed><a0><bc><ed><b8><b7>","f0 9f 88 b7","f0 9f 88 b7"
"702","SQUARED CJK UNIFIED IDEOGRAPH-6709 ","🈶","F0 9F 88 B6","<ed><a0><bc><ed><b8><b6>","f0 9f 88 b6","f0 9f 88 b6"
"703","SQUARED CJK UNIFIED IDEOGRAPH-6E80 ","🈵","F0 9F 88 B5","<ed><a0><bc><ed><b8><b5>","f0 9f 88 b5","f0 9f 88 b5"
"704","SQUARED CJK UNIFIED IDEOGRAPH-7121 ","🈚","F0 9F 88 9A","<ed><a0><bc><ed><b8><9a>","f0 9f 88 9a","f0 9f 88 9a"
"705","SQUARED CJK UNIFIED IDEOGRAPH-7533 ","🈸","F0 9F 88 B8","<ed><a0><bc><ed><b8><b8>","f0 9f 88 b8","f0 9f 88 b8"
"706","SQUARED CJK UNIFIED IDEOGRAPH-7981 ","🈲","F0 9F 88 B2","<ed><a0><bc><ed><b8><b2>","f0 9f 88 b2","f0 9f 88 b2"
"707","SQUARED CJK UNIFIED IDEOGRAPH-7A7A ","🈳","F0 9F 88 B3","<ed><a0><bc><ed><b8><b3>","f0 9f 88 b3","f0 9f 88 b3"
"708","SQUARED CL ","🆑","F0 9F 86 91","<ed><a0><bc><ed><b6><91>","f0 9f 86 91","f0 9f 86 91"
"709","SQUARED COOL ","🆒","F0 9F 86 92","<ed><a0><bc><ed><b6><92>","f0 9f 86 92","f0 9f 86 92"
"710","SQUARED FREE ","🆓","F0 9F 86 93","<ed><a0><bc><ed><b6><93>","f0 9f 86 93","f0 9f 86 93"
"711","SQUARED ID ","🆔","F0 9F 86 94","<ed><a0><bc><ed><b6><94>","f0 9f 86 94","f0 9f 86 94"
"712","SQUARED KATAKANA KOKO ","🈁","F0 9F 88 81","<ed><a0><bc><ed><b8><81>","f0 9f 88 81","f0 9f 88 81"
"713","SQUARED KATAKANA SA ","🈂","F0 9F 88 82","<ed><a0><bc><ed><b8><82>","f0 9f 88 82","f0 9f 88 82"
"714","SQUARED NEW ","🆕","F0 9F 86 95","<ed><a0><bc><ed><b6><95>","f0 9f 86 95","f0 9f 86 95"
